text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
"GOOG stock data for 29. Close: -1.26, Weekly return: -0.0311",29,-1.2706693827873925,-1.2690928335537381,-1.2651670124371168,-1.264869645572741,0.48336512468137943,-1.2768032370567812,-1.2956953330011773,-1.2830352969744128,-1.288937446205836,-0.07089473833036866,0.12581461102998476,-1.2874042224623417,-1.2852811744748842,1.3418404919894322,1.2626174705590458,-1.2714624276698416,-1.2836183449669973,26.39765167236328,-0.03114693883465642,0
"GOOG stock data for 30. Close: -1.27, Weekly return: -0.0124",30,-1.266739481401413,-1.268992310184256,-1.2674943363241147,-1.271833988082718,0.11137403369120727,-1.2734063335969157,-1.2950071905449538,-1.2813568049226531,-1.2875794395016202,-0.061945685589728176,0.5515575284545993,-1.2864711455436446,-1.282119726038321,0.9092063524911362,1.2682387417751126,-1.2645927403615391,-1.2872133832065669,26.60509490966797,-0.01243468378469997,0
"GOOG stock data for 31. Close: -1.28, Weekly return: 0.0077",31,-1.2728713995846455,-1.2740279157159367,-1.2715785776486506,-1.2753782158595517,-0.1035044573717642,-1.27278169809765,-1.2940213489646573,-1.2804854849579628,-1.2865880886223375,-0.06502828973095034,0.8198161329985267,-1.286930584491695,-1.277622105119361,0.6921430356953192,1.0636840818096231,-1.2715640846945115,-1.2768819142729173,26.99120330810547,0.0077264541827676,1
"GOOG stock data for 32. Close: -1.27, Weekly return: 0.0232",32,-1.276665867136364,-1.2766853964913139,-1.2710081772146287,-1.2718001509019845,-0.7123487523277667,-1.2712201528380886,-1.2924599599494417,-1.279194030855667,-1.285401568271959,-0.061965096099477465,0.879054447021305,-1.2858508119149379,-1.2758308816346402,0.7065741673684391,0.8340381684980112,-1.2751118757733388,-1.2779819878671814,27.5673828125,0.023228364963925323,1
"GOOG stock data for 33. Close: -1.28, Weekly return: 0.0361",33,-1.270917842001865,-1.275970775188398,-1.2735295106643538,-1.2762248394739053,-0.11495238016417253,-1.272120862685441,-1.2910153625990426,-1.2787865734243045,-1.2846350966385134,-0.07157961980252861,-0.1004734109731189,-1.285384769555322,-1.2758045406380687,0.21888491031356044,0.584490078313884,-1.2715302134944935,-1.2700886906831867,27.712295532226562,0.03608861576587511,1
"GOOG stock data for 34. Close: -1.28, Weekly return: 0.0741",34,-1.2789131260730917,-1.284133898657603,-1.2808195543528405,-1.284171197702171,-0.09718834393804536,-1.2759907481890025,-1.2898997580436977,-1.279672561835152,-1.2845219283154068,-0.09869973301403508,-0.1516475723018415,-1.2861510478017637,-1.2759136181205175,-0.7199750986989364,0.07401573691017174,-1.2759593505676399,-1.263193431660825,28.35448455810547,0.07412905170617397,1
"GOOG stock data for 35. Close: -1.28, Weekly return: 0.07",35,-1.2857453034991089,-1.2837420277324005,-1.2821429665143644,-1.2794530800398891,-0.6914267249971943,-1.2775183462452437,-1.288376156422227,-1.2796914855762893,-1.2840629569909239,-0.11159861674118533,-0.004266807297095581,-1.286067892817075,-1.2759008690560414,-0.22915989783938068,-0.26424791046581875,-1.2839136979196013,-1.2701907261158176,28.468629837036133,0.07004428789656293,1
"GOOG stock data for 36. Close: -1.27, Weekly return: 0.0542",36,-1.2790825034957582,-1.273212883338889,-1.2739344726856205,-1.2706713772575142,0.3858605500290367,-1.276574643565196,-1.2864174548397804,-1.2783473567683792,-1.2829787471687704,-0.10434386265374754,0.6265203548138939,-1.2850644767831938,-1.2739736092488192,0.6632343710729889,-0.10361758300984787,-1.2791908367478357,-1.273751723487004,28.455228805541992,0.054240838421489565,1
"GOOG stock data for 37. Close: -1.26, Weekly return: 0.0357",37,-1.2708274679389804,-1.2621366654210755,-1.2670265733142616,-1.2575666709694229,1.022995671321617,-1.2737208866607308,-1.2841541878318707,-1.2751803137220612,-1.2809910879189434,-0.0719513260592173,0.819401383695808,-1.2834143805045168,-1.270322344871055,1.3302455954169692,0.6375279579119274,-1.2704003050015793,-1.2701567288336937,28.552499771118164,0.03573487426494031,1
"GOOG stock data for 38. Close: -1.25, Weekly return: 0.0166",38,-1.2583715813164977,-1.2525678564088527,-1.2540208915066995,-1.2542707560419724,1.1524754062011262,-1.2693191790339293,-1.2819584778367434,-1.2719900250996998,-1.2789032406263008,-0.04163083001804634,0.806368819895,-1.2820236122434387,-1.2661038611392912,0.8539804811617459,1.0290783233886422,-1.2572824234806925,-1.2746023529202486,28.173091888427734,0.016627866705062843,1
