Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,
2015-02-13,-1.014523208813771,-1.0194198907407894,-1.0152283438499876,-1.0153022730076369,1.5236268818890222,-1.025303963611224,-1.0560539295223472,-1.0351573637139801,-1.0472165536657507,0.1498885962461005,1.130352139108603,-1.0341007952298555,-1.0625462621469868,1.2329647256520597,1.298468604287875,-1.017049195005427,-1.04126382462785,29.702585220336914,0.04658488595116505,1
2015-02-17,-1.0138039291703353,-1.013995749162815,-1.0108373382976334,-1.0127365413516394,2.057322843121409,-1.0197423035979083,-1.0538633251393612,-1.0315254687816273,-1.044407624503377,0.1763091400013654,1.8517925416356857,-1.0311129039019733,-1.0577518035782623,1.0596237567552573,1.2153609179217524,-1.0149259543462366,-1.0385481395708094,29.5172176361084,0.03395127344417807,1
2015-02-18,-1.0133243973235673,-1.0143347870043575,-1.0090048662351807,-1.0096918477980528,0.9598631193228182,-1.0151476005411137,-1.0512147070019808,-1.0279809536659072,-1.0415782179700777,0.19935174559557534,1.6825397785259013,-1.027513169992894,-1.0543067997774085,1.2638655915026829,1.2640306948614073,-1.0123576336375735,-1.03064170877512,28.762374877929688,0.0005439380237095405,1
2015-02-19,-1.0104129209097172,-1.0134872848893413,-1.0059622559522796,-1.0106155579421554,0.5073556306506024,-1.0126993830876516,-1.0485984856054593,-1.0251247554896763,-1.0390277342781291,0.2094949458397745,1.4252013430401895,-1.0248988489772317,-1.0501640924492077,1.1616884173544952,1.2386979952256032,-1.0093098677159387,-1.0208103123347279,29.12639617919922,0.01533681450509659,1
2015-02-20,-1.0099334037529375,-1.0118939590340992,-1.0069303790115276,-1.007023504406294,1.2036689351750989,-1.010614623748825,-1.0460325063859888,-1.022151858010841,-1.0363965421987171,0.22078441542482247,2.009152963044021,-1.0214978878576328,-1.0475508318885733,1.301370483258627,1.3246185115475455,-1.0102345099661736,-1.0153790009381614,28.688674926757812,-0.00803072130609342,0
2015-02-23,-1.0051378423256827,-1.0000285165009002,-1.0013636605131488,-0.9950498367936118,2.527403438149827,-1.0065548172247645,-1.0435386995819205,-1.0177825905613669,-1.0330614645214231,0.2539436428941622,2.0636595856451216,-1.0163078474675227,-1.0458644390956335,1.3013704832716144,1.3379483287160945,-1.0066388317270976,-1.0132476432291238,28.829368591308594,-0.02939867430901072,0
2015-02-24,-0.9951360573276291,-0.9979945185886714,-0.9961429073840898,-0.9978893653106052,2.4224696361733233,-1.0035785499985272,-1.0411547791941218,-1.0145251281212306,-1.0301865753702644,0.26656785444296066,1.8271474473672737,-1.0128376624450735,-1.042608249375927,1.0083233636672257,1.2834400224852387,-0.9946530816131234,-1.0106695039503775,28.889665603637695,-0.0212605415661881,0
2015-02-25,-0.9998628932039542,-1.0047746154656898,-1.0065845334780035,-1.0094523230230614,2.7520314898493576,-1.0035305348247523,-1.038843860437552,-1.0135589672927527,-1.0283926002495798,0.24099866983542298,0.9911169830013622,-1.014629046813809,-1.0332832281995408,0.2776559480250611,0.9195960825660803,-0.9974954754682976,-1.007610086562009,28.706539154052734,-0.0019412765501432118,0
2015-02-26,-1.0093510445356904,-1.0072494821024172,-1.0119091471935695,-1.0038761114645525,3.748229493745193,-1.0021795443320933,-1.0364561211105947,-1.0118781488843913,-1.0263129406742535,0.22894436299420673,1.045044081174321,-1.0134436430272655,-1.0289234159873792,0.6245679036995095,0.6790500039243603,-1.0090701012390313,-1.0085382636763693,28.230854034423828,-0.03074675422477935,0
