text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
"SMCI stock data for 46. Close: -0.34, Weekly return: -0.0723",46,-0.34799873658352026,-0.3477075030991274,-0.3457870817781118,-0.34430824198729654,-0.3527272143217663,-0.34419753836681394,-0.33882261543522463,-0.3412536712547644,-0.34208535381950356,-0.03788585951356481,-0.38724425188440115,-0.35126408415143495,-0.30634775813370296,-0.8573905324951713,-1.3954933838135282,-0.34935557906383985,-0.33664624118938324,3.5420000553131104,-0.0722891611406699,0
"SMCI stock data for 47. Close: -0.35, Weekly return: -0.0172",47,-0.3428180039632953,-0.3470472879610196,-0.34731589601578217,-0.34857146273550454,-0.2830595427205205,-0.3462017702884668,-0.33883590165442184,-0.3423378722800972,-0.3425252003221323,-0.045493567060610494,-0.6066526983419308,-0.350822587022227,-0.30817867030650287,-1.4085033785914551,-1.3770189278473883,-0.3438171726891392,-0.33610668041054903,3.6670000553131104,-0.0171535492353863,0
"SMCI stock data for 48. Close: -0.35, Weekly return: 0.0305",48,-0.34843861340580584,-0.35223471028585307,-0.35470518305609233,-0.3546967706365651,-0.12359581193057224,-0.34821582850688454,-0.3391364972658582,-0.3442059787787147,-0.34339571972203764,-0.05729817939225186,-0.7405495246672826,-0.35002861415070735,-0.311841578225997,-1.4072817993117632,-1.3175540576794575,-0.34808125609366775,-0.34218903912798265,3.7160000801086426,0.030504751842355463,1
"SMCI stock data for 49. Close: -0.35, Weekly return: 0.0069",49,-0.3537659716334593,-0.3530835567143566,-0.3508831413869486,-0.35307968972454423,-0.31598802144369,-0.34985654835019425,-0.33916639096208684,-0.34553569804897993,-0.3440794571441072,-0.06495890094744516,-1.3402551310979451,-0.3497282101220892,-0.3143672340164325,-1.2422976481282204,-1.455501226561804,-0.3542078034415897,-0.34243430146956777,3.6640000343322754,0.006870045558325349,1
"SMCI stock data for 50. Close: -0.36, Weekly return: -0.002",50,-0.35283734667063693,-0.35699771501815775,-0.3562339972937627,-0.35778392404286874,-0.2489911067715242,-0.35144814373682853,-0.3393391090399766,-0.3473909867147973,-0.3450683263510717,-0.07524379758149313,-1.397514747991254,-0.3492179282506999,-0.3179278448787065,-1.581277967195112,-1.517422049494598,-0.35259039531567304,-0.3473884908389167,3.5360000133514404,-0.00197571818129758,0
"SMCI stock data for 51. Close: -0.36, Weekly return: -0.0593",51,-0.35674733179493123,-0.359308479244981,-0.3555205409295681,-0.35783292295441554,-0.2551794459974413,-0.3541597519064039,-0.33941550351351185,-0.34896845144890104,-0.34598765175149704,-0.08307970299187553,-1.8311056719301115,-0.34871195596144383,-0.32097512417885826,-1.579687377280175,-1.5792106224108244,-0.3572955815287522,-0.3418456812055652,3.3320000171661377,-0.05928854739343272,0
"SMCI stock data for 52. Close: -0.35, Weekly return: -0.0946",52,-0.3577737110469309,-0.35468695079133455,-0.3552657446315908,-0.351707615053355,-0.32419571346964315,-0.35478852949212225,-0.3392527500010317,-0.34935252366980674,-0.3463756248544196,-0.08308803202966514,-1.1362873177364174,-0.3489074956088396,-0.32222395929382425,-0.7818554007798086,-1.4141923572871105,-0.35734459035515515,-0.3461131547300793,3.319999933242798,-0.09462779297413552,0
"SMCI stock data for 53. Close: -0.35, Weekly return: -0.0875",53,-0.350393605967953,-0.35030121988326707,-0.3475197476340866,-0.34930649314109713,-0.29999605007566205,-0.35370781486909164,-0.33916639096208684,-0.34930483106077787,-0.3465532635021646,-0.08047375705628623,-1.005283653924722,-0.34927034109646976,-0.3229597030735123,-0.42544192261219727,-0.9999513532460502,-0.35121804300723325,-0.35224457293268124,3.3910000324249268,-0.08745964496163681,0
"SMCI stock data for 54. Close: -0.35, Weekly return: -0.0691",54,-0.34838973043487975,-0.3509614350213749,-0.3481312660391935,-0.35185462347109303,-0.34806967479910234,-0.3534621972704802,-0.33924776771832693,-0.3496599696668815,-0.3469104576149992,-0.08049941337652584,-1.0033820635182376,-0.34941226100192374,-0.32399930209508976,-0.7215785882913905,-0.6924130583528141,-0.3488164352315598,-0.3506258789014264,3.4110000133514404,-0.06905022341980996,0
"SMCI stock data for 55. Close: -0.36, Weekly return: -0.0608",55,-0.3510289797159183,-0.35449831950093885,-0.35521478780198246,-0.35812693978989163,-0.25237840824255253,-0.3535309696359195,-0.339551684983551,-0.3509339942900995,-0.34771556520098285,-0.08610330699351253,-1.131047833287902,-0.3505197451281447,-0.32564011979557844,-1.55449500145293,-0.9693199825180068,-0.351365081171904,-0.35533480592919026,3.321000099182129,-0.06080314291784558,0
