Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2015-01-02,36.375240325927734,36.76305364340025,36.19014783547004,36.67491532287603,8495200
2015-01-05,35.819976806640625,36.24304700172736,35.7142100984347,36.24304700172736,7194700
2015-01-06,35.38809585571289,35.925745276781484,35.22062825038864,35.925745276781484,8745600
2015-01-07,35.68775177001953,35.775890089947346,35.43214593506294,35.661307584232084,6534600
2015-01-08,36.47220230102539,36.551528151377724,35.925733837592816,35.97861885858175,14211700
2015-01-09,36.35760498046875,36.6660924050957,36.0931867076084,36.5779541015625,9169900
2015-01-12,35.93455505371094,36.42813856984376,35.81116001524339,36.33999685503649,5628700
2015-01-13,35.908111572265625,36.68373843179326,35.65250566156879,36.234227487345706,11679200
2015-01-14,35.70539474487305,35.864046490535614,35.37927876201692,35.61725638051077,8830700
2015-01-15,35.24705123901367,35.9433519922748,35.22060705488191,35.85521367786539,9327700
2015-01-16,35.59080505371094,35.62605837170753,35.114849957005035,35.13247829713438,18821500
2015-01-20,35.890472412109375,35.96979824454326,35.44095824089687,35.802330730370954,12015800
2015-01-21,35.95218276977539,36.102018638941125,35.55555346571526,35.73183352999338,13919100
2015-01-22,36.542724609375,36.56916880990817,35.74946920090839,36.049144362932644,8812200
2015-01-23,36.53389358520508,36.70135774640547,36.410498586187785,36.53389358520508,6478800
2015-01-26,36.38405990600586,36.58678077254032,36.269480739439906,36.48982994596806,9733500
2015-01-27,35.335205078125,35.784716058725785,35.17655335267469,35.784716058725785,10792000
2015-01-28,35.27350616455078,36.08438974057464,35.27350616455078,35.969810558481605,13047200
2015-01-29,35.60844039916992,35.67895041129678,34.95620513511698,35.29113693894215,16817600
2015-01-30,35.16773223876953,35.68775646417179,35.097218883743274,35.51147643886797,13006300
2015-02-02,35.52911376953125,35.57318294644502,34.71822679281461,35.29113617948167,15623600
2015-02-03,35.93455505371094,35.96981173963385,35.5379257427348,35.634879947891484,9883700
2015-02-04,36.00505828857422,36.26948002097974,35.87285078463345,35.87285078463345,5889400
2015-02-05,36.339988708496094,36.3576170475057,36.04031366985648,36.15489619228801,5091800
2015-02-06,36.225425720214844,36.560357617481905,36.11965899138555,36.39289334998022,4790300
2015-02-09,36.17251968383789,36.34879968804892,36.093193850056,36.12845052335049,7165700
2015-02-10,36.71017837524414,36.7542475431643,36.28710494887705,36.41931581489951,11245700
2015-02-11,36.85122299194336,36.91292053508152,36.65731450650117,36.76308124298603,6250000
